index_code,con_code,trade_date,weight
399300.SZ,600999.SH,20200102,0.3771
399300.SZ,601009.SH,20200102,0.3765
399300.SZ,600019.SH,20200102,0.3698
399300.SZ,600570.SH,20200102,0.3653
399300.SZ,600406.SH,20200102,0.3622
399300.SZ,601390.SH,20200102,0.3532
399300.SZ,601939.SH,20200102,0.3513
399300.SZ,300015.SZ,20200102,0.3503
399300.SZ,601989.SH,20200102,0.3478
399300.SZ,601006.SH,20200102,0.3477
399300.SZ,601186.SH,20200102,0.3428
399300.SZ,600015.SH,20200102,0.3391
399300.SZ,002241.SZ,20200102,0.3336
399300.SZ,000166.SZ,20200102,0.3322
399300.SZ,600703.SH,20200102,0.3318
399300.SZ,000776.SZ,20200102,0.3274
399300.SZ,000538.SZ,20200102,0.3266
399300.SZ,000876.SZ,20200102,0.3145
399300.SZ,002594.SZ,20200102,0.3125
399300.SZ,601336.SH,20200102,0.3035
399300.SZ,603986.SH,20200102,0.3026
399300.SZ,600741.SH,20200102,0.2974
399300.SZ,002044.SZ,20200102,0.2936
399300.SZ,600958.SH,20200102,0.2787
399300.SZ,002236.SZ,20200102,0.2761
399300.SZ,600352.SH,20200102,0.2753
399300.SZ,002024.SZ,20200102,0.2734
